Doc0 tragedy of romeo and juliet
Doc1 by william shakespeare
Doc2 dramatis personae
Doc3   chorus
Doc745     this trick may chance to scathe you i know what
Doc746     you must contrary me marry tis time 
Doc747     well said my hearts  you are a princox  go
Doc748     be quiet or  more light more light  for shame
Doc749     ill make you quiet what  cheerly my hearts
Doc750   tyb patience perforce with wilful choler meeting
Doc751     makes my flesh tremble in their different greeting
Doc752     i will withdraw but this intrusion shall
Doc753     now seeming sweet convert to bittrest gall          exit
Doc754   rom if i profane with my unworthiest hand
Doc755     this holy shrine the gentle fine is this
Doc756     my lips two blushing pilgrims ready stand
Doc757     to smooth that rough touch with a tender kiss
Doc758   jul good pilgrim you do wrong your hand too much
Doc759     which mannerly devotion shows in this
Doc760     for saints have hands that pilgrims hands do touch
Doc761     and palm to palm is holy palmers kiss
Doc762   rom have not saints lips and holy palmers too?
Doc763   jul ay pilgrim lips that they must use in prayr
Doc764   rom o then dear saint let lips do what hands do
Doc765     they pray grant thou lest faith turn to despair
Doc766   jul saints do not move though grant for prayers sake
Doc767   rom then move not while my prayers effect i take
Doc768     thus from my lips by thine my sin is purgd  [kisses her]
Doc769   jul then have my lips the sin that they have took
Doc770   rom sin from my lips? o trespass sweetly urgd
Doc771     give me my sin again                          [kisses her]
Doc772   jul you kiss by th book
Doc773   nurse madam your mother craves a word with you
Doc774   rom what is her mother?
Doc775   nurse marry bachelor
Doc776     her mother is the lady of the house
Doc777     and a good lady and a wise and virtuous
Doc778     i nursd her daughter that you talkd withal
Doc779     i tell you he that can lay hold of her
Doc780     shall have the chinks
Doc781   rom is she a capulet?
Doc782     o dear account my life is my foes debt
Doc783   ben away be gone the sport is at the best
Doc784   rom ay so i fear the more is my unrest
Doc785   cap nay gentlemen prepare not to be gone
Doc786     we have a trifling foolish banquet towards
Doc787     is it een so? why then i thank you all
Doc788     i thank you honest gentlemen good night
Doc789     more torches here [exeunt maskers] come on then lets to bed
Doc790     ah sirrah by my fay it waxes late
Doc791     ill to my rest
Doc792                               exeunt [all but juliet and nurse]
Doc793   jul come hither nurse what is yond gentleman?
Doc794   nurse the son and heir of old tiberio
Doc795   jul whats he that now is going out of door?
Doc796   nurse marry that i think be young petruchio
Doc797   jul whats he that follows there that would not dance?
Doc798   nurse i know not
Doc799   jul go ask his name  if he be married
Doc800     my grave is like to be my wedding bed
Doc801   nurse his name is romeo and a montague
Doc802     the only son of your great enemy
Doc803   jul my only love sprung from my only hate
Doc804     too early seen unknown and known too late
Doc805     prodigious birth of love it is to me
Doc806     that i must love a loathed enemy
Doc807   nurse whats this? whats this?
Doc808   jul a rhyme i learnt even now
Doc809     of one i dancd withal
Doc810                                      one calls within juliet
Doc811   nurse anon anon
Doc812     come lets away the strangers all are gone        exeunt
Doc813 prologue
Doc814 enter chorus
Doc815   chor now old desire doth in his deathbed lie
Doc816     and young affection gapes to be his heir
Doc817     that fair for which love groand for and would die
Doc818     with tender juliet matchd is now not fair
Doc819     now romeo is belovd and loves again
Doc820     alike bewitched by the charm of looks
Doc821     but to his foe supposd he must complain
Doc822     and she steal loves sweet bait from fearful hooks
Doc823     being held a foe he may not have access
Doc824     to breathe such vows as lovers use to swear
Doc825     and she as much in love her means much less
Doc826     to meet her new beloved anywhere
Doc827     but passion lends them power time means to meet
Doc828     tempring extremities with extreme sweet
Doc829 exit
Doc830 act ii scene i
Doc831 a lane by the wall of capulets orchard
Doc832 enter romeo alone
Doc833   rom can i go forward when my heart is here?
Doc834     turn back dull earth and find thy centre out
Doc835                      [climbs the wall and leaps down within it]
Doc836                    enter benvolio with mercutio
Doc837   ben romeo my cousin romeo romeo
Doc838   mer he is wise
Doc839     and on my life hath stoln him home to bed
Doc840   ben he ran this way and leapt this orchard wall
Doc841     call good mercutio
Doc842   mer nay ill conjure too
Doc843     romeo humours madman passion lover
Doc844     appear thou in the likeness of a sigh
Doc845     speak but one rhyme and i am satisfied
Doc846     cry but ay me pronounce but love and dove
Doc847     speak to my gossip venus one fair word
Doc848     one nickname for her purblind son and heir
Doc849     young adam cupid he that shot so trim
Doc850     when king cophetua lovd the beggar maid
Doc851     he heareth not he stirreth not be moveth not
Doc852     the ape is dead and i must conjure him
Doc853     i conjure thee by rosalines bright eyes
Doc854     by her high forehead and her scarlet lip
Doc855     by her fine foot straight leg and quivering thigh
Doc856     and the demesnes that there adjacent lie
Doc857     that in thy likeness thou appear to us
Doc858   ben an if he hear thee thou wilt anger him
Doc859   mer this cannot anger him twould anger him
Doc860     to raise a spirit in his mistress circle
Doc861     of some strange nature letting it there stand
Doc862     till she had laid it and conjurd it down
Doc863     that were some spite my invocation
Doc864     is fair and honest in his mistress name
Doc865     i conjure only but to raise up him
Doc866   ben come he hath hid himself among these trees
Doc867     to be consorted with the humorous night
Doc868     blind is his love and best befits the dark
Doc869   mer if love be blind love cannot hit the mark
Doc870     now will he sit under a medlar tree
Doc871     and wish his mistress were that kind of fruit
Doc872     as maids call medlars when they laugh alone
Doc873     o romeo that she were o that she were
Doc874     an open et cetera thou a poprin pear
Doc875     romeo good night ill to my truckle bed
Doc876     this field bed is too cold for me to sleep
Doc877     come shall we go?
Doc878   ben go then for tis in vain
Doc879     to seek him here that means not to be found
Doc880                                                          exeunt
Doc881 scene ii
Doc882 capulets orchard
Doc883 enter romeo
Doc884   rom he jests at scars that never felt a wound
Doc885                      enter juliet above at a window
Doc886     but soft what light through yonder window breaks?
Doc887     it is the east and juliet is the sun
Doc888     arise fair sun and kill the envious moon
Doc889     who is already sick and pale with grief
Doc890     that thou her maid art far more fair than she
Doc891     be not her maid since she is envious
Doc892     her vestal livery is but sick and green
Doc893     and none but fools do wear it cast it off
Doc894     it is my lady o it is my love
Doc895     o that she knew she were
Doc896     she speaks yet she says nothing what of that?
Doc897     her eye discourses i will answer it
Doc898     i am too bold tis not to me she speaks
Doc899     two of the fairest stars in all the heaven
Doc900     having some business do entreat her eyes
Doc901     to twinkle in their spheres till they return
Doc902     what if her eyes were there they in her head?
Doc903     the brightness of her cheek would shame those stars
Doc904     as daylight doth a lamp her eyes in heaven
Doc905     would through the airy region stream so bright
Doc906     that birds would sing and think it were not night
Doc907     see how she leans her cheek upon her hand
Doc908     o that i were a glove upon that hand
Doc909     that i might touch that cheek
Doc910   jul ay me
Doc911   rom she speaks
Doc912     o speak again bright angel for thou art
Doc913     as glorious to this night being oer my head
Doc914     as is a winged messenger of heaven
Doc915     unto the white upturned wondring eyes
Doc916     of mortals that fall back to gaze on him
Doc917     when he bestrides the lazy pacing clouds
Doc918     and sails upon the bosom of the air
Doc919   jul o romeo romeo wherefore art thou romeo?
Doc920     deny thy father and refuse thy name
Doc921     or if thou wilt not be but sworn my love
Doc922     and ill no longer be a capulet
Doc923   rom [aside] shall i hear more or shall i speak at this?
Doc924   jul tis but thy name that is my enemy
Doc925     thou art thyself though not a montague
Doc926     whats montague? it is nor hand nor foot
Doc927     nor arm nor face nor any other part
Doc928     belonging to a man o be some other name
Doc929     whats in a name? that which we call a rose
Doc930     by any other name would smell as sweet
Doc931     so romeo would were he not romeo calld
Doc932     retain that dear perfection which he owes
Doc933     without that title romeo doff thy name
Doc934     and for that name which is no part of thee
Doc935     take all myself
Doc936   rom i take thee at thy word
Doc937     call me but love and ill be new baptizd
Doc938     henceforth i never will be romeo
Doc939   jul what man art thou that thus bescreend in night
Doc940     so stumblest on my counsel?
Doc941   rom by a name
Doc942     i know not how to tell thee who i am
Doc943     my name dear saint is hateful to myself
Doc944     because it is an enemy to thee
Doc945     had i it written i would tear the word
Doc946   jul my ears have yet not drunk a hundred words
Doc947     of that tongues utterance yet i know the sound
Doc948     art thou not romeo and a montague?
Doc949   rom neither fair saint if either thee dislike
Doc950   jul how camst thou hither tell me and wherefore?
Doc951     the orchard walls are high and hard to climb
Doc952     and the place death considering who thou art
Doc953     if any of my kinsmen find thee here
Doc954   rom with loves light wings did i oerperch these walls
Doc955     for stony limits cannot hold love out
Doc956     and what love can do that dares love attempt
Doc957     therefore thy kinsmen are no let to me
Doc958   jul if they do see thee they will murther thee
Doc959   rom alack there lies more peril in thine eye
Doc960     than twenty of their swords look thou but sweet
Doc961     and i am proof against their enmity
Doc962   jul i would not for the world they saw thee here
Doc963   rom i have nights cloak to hide me from their sight
Doc964     and but thou love me let them find me here
Doc965     my life were better ended by their hate
Doc966     than death prorogued wanting of thy love
Doc967   jul by whose direction foundst thou out this place?
Doc968   rom by love that first did prompt me to enquire
Doc969     he lent me counsel and i lent him eyes
Doc970     i am no pilot yet wert thou as far
Doc971     as that vast shore washd with the farthest sea
Doc972     i would adventure for such merchandise
Doc973   jul thou knowest the mask of night is on my face
Doc974     else would a maiden blush bepaint my cheek
Doc975     for that which thou hast heard me speak to night
Doc976     fain would i dwell on form  fain fain deny
Doc977     what i have spoke but farewell compliment
Doc978     dost thou love me i know thou wilt say ay
Doc979     and i will take thy word yet if thou swearst
Doc980     thou mayst prove false at lovers perjuries
Doc981     they say jove laughs o gentle romeo
Doc982     if thou dost love pronounce it faithfully
Doc983     or if thou thinkest i am too quickly won
Doc984     ill frown and be perverse and say thee nay
Doc985     so thou wilt woo but else not for the world
Doc986     in truth fair montague i am too fond
Doc987     and therefore thou mayst think my haviour light
Doc988     but trust me gentleman ill prove more true
Doc989     than those that have more cunning to be strange
Doc990     i should have been more strange i must confess
Doc991     but that thou overheardst ere i was ware
Doc992     my true love passion therefore pardon me
Doc993     and not impute this yielding to light love
Doc994     which the dark night hath so discovered
Doc995   rom lady by yonder blessed moon i swear
Doc996     that tips with silver all these fruit tree tops 
Doc997   jul o swear not by the moon th inconstant moon
Doc998     that monthly changes in her circled orb
Doc999     lest that thy love prove likewise variable
Doc1000   rom what shall i swear by?
Doc1001   jul do not swear at all
Doc1002     or if thou wilt swear by thy gracious self
Doc1003     which is the god of my idolatry
Doc1004     and ill believe thee
Doc1005   rom if my hearts dear love 
Doc1006   jul well do not swear although i joy in thee
Doc1007     i have no joy of this contract to night
Doc1008     it is too rash too unadvisd too sudden
Doc1009     too like the lightning which doth cease to be
Doc1010     ere one can say it lightens sweet good night
Doc1011     this bud of love by summers ripening breath
Doc1012     may prove a beauteous flowr when next we meet
Doc1013     good night good night as sweet repose and rest
Doc1014     come to thy heart as that within my breast
Doc1015   rom o wilt thou leave me so unsatisfied?
Doc1016   jul what satisfaction canst thou have to night?
Doc1017   rom th exchange of thy loves faithful vow for mine
Doc1018   jul i gave thee mine before thou didst request it
Doc1019     and yet i would it were to give again
Doc1020   rom wouldst thou withdraw it? for what purpose love?
Doc1021   jul but to be frank and give it thee again
Doc1022     and yet i wish but for the thing i have
Doc1023     my bounty is as boundless as the sea
Doc1024     my love as deep the more i give to thee
Doc1025     the more i have for both are infinite
Doc1026     i hear some noise within dear love adieu
Doc1027                                            [nurse] calls within
Doc1028     anon good nurse sweet montague be true
Doc1029     stay but a little i will come again                [exit]
Doc1030   rom o blessed blessed night i am afeard
Doc1031     being in night all this is but a dream
Doc1032     too flattering sweet to be substantial
Doc1033                        enter juliet above
Doc1034   jul three words dear romeo and good night indeed
Doc1035     if that thy bent of love be honourable
Doc1036     thy purpose marriage send me word to morrow
Doc1037     by one that ill procure to come to thee
Doc1038     where and what time thou wilt perform the rite
Doc1039     and all my fortunes at thy foot ill lay
Doc1040     and follow thee my lord throughout the world
Doc1041   nurse (within) madam
Doc1042   jul i come anon  but if thou meanest not well
Doc1043     i do beseech thee 
Doc1044   nurse (within) madam
Doc1045   jul by and by i come 
Doc1046     to cease thy suit and leave me to my grief
Doc1047     to morrow will i send
Doc1048   rom so thrive my soul 
Doc1049   jul a thousand times good night                        exit
Doc1050   rom a thousand times the worse to want thy light
Doc1051     love goes toward love as schoolboys from their books
Doc1052     but love from love towards school with heavy looks
Doc1053                      enter juliet again [above]
Doc1054   jul hist romeo hist o for a falconers voice
Doc1055     to lure this tassel gentle back again
Doc1056     bondage is hoarse and may not speak aloud
Doc1057     else would i tear the cave where echo lies
Doc1058     and make her airy tongue more hoarse than mine
Doc1059     with repetition of my romeos name
Doc1060     romeo
Doc1061   rom it is my soul that calls upon my name
Doc1062     how silver sweet sound lovers tongues by night
Doc1063     like softest music to attending ears
Doc1064   jul romeo
Doc1065   rom my dear?
Doc1066   jul at what oclock to morrow
Doc1067     shall i send to thee?
Doc1068   rom by the hour of nine
Doc1069   jul i will not fail tis twenty years till then
Doc1070     i have forgot why i did call thee back
Doc1071   rom let me stand here till thou remember it
Doc1072   jul i shall forget to have thee still stand there
Doc1073     remembring how i love thy company
Doc1074   rom and ill still stay to have thee still forget
Doc1075     forgetting any other home but this
Doc1076   jul tis almost morning i would have thee gone 
Doc1077     and yet no farther than a wantons bird
Doc1078     that lets it hop a little from her hand
Doc1079     like a poor prisoner in his twisted gyves
Doc1080     and with a silk thread plucks it back again
Doc1081     so loving jealous of his liberty
Doc1082   rom i would i were thy bird
Doc1083   jul sweet so would i
Doc1084     yet i should kill thee with much cherishing
Doc1085     good night good night parting is such sweet sorrow
Doc1086     that i shall say good night till it be morrow
Doc1087                                                          [exit]
Doc1088   rom sleep dwell upon thine eyes peace in thy breast
Doc1089     would i were sleep and peace so sweet to rest
Doc1090     hence will i to my ghostly fathers cell
Doc1091     his help to crave and my dear hap to tell
Doc1092  exit
Doc1093 scene iii
Doc1094 friar laurences cell
Doc1095 enter friar [laurence] alone with a basket
Doc1096   friar the grey eyd morn smiles on the frowning night
Doc1097     checkring the eastern clouds with streaks of light
Doc1098     and flecked darkness like a drunkard reels
Doc1099     from forth days path and titans fiery wheels
Doc1100     non ere the sun advance his burning eye
Doc1101     the day to cheer and nights dank dew to dry
Doc1102     i must up fill this osier cage of ours
Doc1103     with baleful weeds and precious juiced flowers
Doc1104     the earth thats natures mother is her tomb
Doc1105     what is her burying gave that is her womb
Doc1106     and from her womb children of divers kind
Doc1107     we sucking on her natural bosom find
Doc1108     many for many virtues excellent
Doc1109     none but for some and yet all different
Doc1110     o mickle is the powerful grace that lies
Doc1111     in plants herbs stones and their true qualities
Doc1112     for naught so vile that on the earth doth live
Doc1113     but to the earth some special good doth give
Doc1114     nor aught so good but straind from that fair use
Doc1115     revolts from true birth stumbling on abuse
Doc1116     virtue itself turns vice being misapplied
Doc1117     and vice sometimes by action dignified
Doc1118     within the infant rind of this small flower
Doc1119     poison hath residence and medicine power
Doc1120     for this being smelt with that part cheers each part
Doc1121     being tasted slays all senses with the heart
Doc1122     two such opposed kings encamp them still
Doc1123     in man as well as herbs  grace and rude will
Doc1124     and where the worser is predominant
Doc1125     full soon the canker death eats up that plant
Doc1126                         enter romeo
Doc1127   rom good morrow father
Doc1128   friar benedicite
Doc1129     what early tongue so sweet saluteth me?
Doc1130     young son it argues a distempered head
Doc1131     so soon to bid good morrow to thy bed
Doc1132     care keeps his watch in every old mans eye
Doc1133     and where care lodges sleep will never lie
Doc1134     but where unbruised youth with unstuffd brain
Doc1135     doth couch his limbs there golden sleep doth reign
Doc1136     therefore thy earliness doth me assure
Doc1137     thou art uprousd with some distemprature
Doc1138     or if not so then here i hit it right 
Doc1139     our romeo hath not been in bed to night
Doc1140   rom that last is true the sweeter rest was mine
Doc1141   friar god pardon sin wast thou with rosaline?
Doc1142   rom with rosaline my ghostly father? no
Doc1143     i have forgot that name and that names woe
Doc1144   friar thats my good son but where hast thou been then?
Doc1145   rom ill tell thee ere thou ask it me again
Doc1146     i have been feasting with mine enemy
Doc1147     where on a sudden one hath wounded me
Doc1148     thats by me wounded both our remedies
Doc1149     within thy help and holy physic lies
Doc1150     i bear no hatred blessed man for lo
Doc1151     my intercession likewise steads my foe
Doc1152   friar be plain good son and homely in thy drift
Doc1153     riddling confession finds but riddling shrift
Doc1154   rom then plainly know my hearts dear love is set
Doc1155     on the fair daughter of rich capulet
Doc1156     as mine on hers so hers is set on mine
Doc1157     and all combind save what thou must combine
Doc1158     by holy marriage when and where and how
Doc1159     we met we wood and made exchange of vow
Doc1160     ill tell thee as we pass but this i pray
Doc1161     that thou consent to marry us to day
Doc1162   friar holy saint francis what a change is here
Doc1163     is rosaline that thou didst love so dear
Doc1164     so soon forsaken? young mens love then lies
Doc1165     not truly in their hearts but in their eyes
Doc1166     jesu maria what a deal of brine
Doc1167     hath washd thy sallow cheeks for rosaline
Doc1168     how much salt water thrown away in waste
Doc1169     to season love that of it doth not taste
Doc1170     the sun not yet thy sighs from heaven clears
Doc1171     thy old groans ring yet in mine ancient ears
Doc1172     lo here upon thy cheek the stain doth sit
Doc1173     of an old tear that is not washd off yet
Doc1174     if eer thou wast thyself and these woes thine
Doc1175     thou and these woes were all for rosaline
Doc1176     and art thou changd? pronounce this sentence then
Doc1177     women may fall when theres no strength in men
Doc1178   rom thou chidst me oft for loving rosaline
Doc1179   friar for doting not for loving pupil mine
Doc1180   rom and badst me bury love
Doc1181   friar not in a grave
Doc1182     to lay one in another out to have
Doc1183   rom i pray thee chide not she whom i love now
Doc1184     doth grace for grace and love for love allow
Doc1185     the other did not so
Doc1186   friar o she knew well
Doc1187     thy love did read by rote that could not spell
Doc1188     but come young waverer come go with me
Doc1189     in one respect ill thy assistant be
Doc1190     for this alliance may so happy prove
Doc1191     to turn your households rancour to pure love
Doc1192   rom o let us hence i stand on sudden haste
Doc1193   friar wisely and slow they stumble that run fast
Doc1194                                                          exeunt
Doc1195 scene iv
Doc1196 a street
Doc1197 enter benvolio and mercutio
Doc1198   mer where the devil should this romeo be?
Doc1199     came he not home to night?
Doc1200   ben not to his fathers i spoke with his man
Doc1201   mer why that same pale hard hearted wench that rosaline
Doc1202     torments him so that he will sure run mad
Doc1203   ben tybalt the kinsman to old capulet
Doc1204     hath sent a letter to his fathers house
Doc1205   mer a challenge on my life
Doc1206   ben romeo will answer it
Doc1207   mer any man that can write may answer a letter
Doc1208   ben nay he will answer the letters master how he dares
Doc1209     being dared
Doc1210   mer alas poor romeo he is already dead stabbd with a white
Doc1211     wenchs black eye shot through the ear with a love song the
Doc1212     very pin of his heart cleft with the blind bow boys
Doc1213     butt shaft and is he a man to encounter tybalt?
Doc1214   ben why what is tybalt?
Doc1215   mer more than prince of cats i can tell you o hes the
Doc1216     courageous captain of compliments he fights as you sing
Doc1217     pricksong keeps time distance and proportion rests me his
Doc1218     minim rest one two and the third in your bosom the very
Doc1219     butcher of a silk button a duellist a duellist a gentleman
Doc1220     of the very first house of the first and second cause ah the
Doc1221     immortal passado the punto reverse the hay
Doc1222   ben the what?
Doc1223   mer the pox of such antic lisping affecting fantasticoes 
Doc1224     these new tuners of accent by jesu a very good blade a very
Doc1225     tall man a very good whore why is not this a lamentable thing
Doc1226     grandsir that we should be thus afflicted with these strange
Doc1227     flies these fashion mongers these pardona mis who stand
Doc1228     so much on the new form that they cannot sit at ease on the old
Doc1229     bench? o their bones their bones
Doc1230                                enter romeo
Doc1231   ben here comes romeo here comes romeo
Doc1232   mer without his roe like a dried herring o flesh flesh how
Doc1233     art thou fishified now is he for the numbers that petrarch
Doc1234     flowed in laura to his lady was but a kitchen wench (marry she
Doc1235     had a better love to berhyme her) dido a dowdy cleopatra a gypsy
Doc1236     helen and hero hildings and harlots this be a gray eye or so
Doc1237     but not to the purpose signior romeo bon jour theres a french
Doc1238     salutation to your french slop you gave us the counterfeit
Doc1239     fairly last night
Doc1240   rom good morrow to you both what counterfeit did i give you?
Doc1241   mer the slip sir the slip can you not conceive?
Doc1242   rom pardon good mercutio my business was great and in such a
Doc1243     case as mine a man may strain courtesy
Doc1244   mer thats as much as to say such a case as yours constrains a
Doc1245     man to bow in the hams
Doc1246   rom meaning to cursy
Doc1247   mer thou hast most kindly hit it
Doc1248   rom a most courteous exposition
Doc1249   mer nay i am the very pink of courtesy
Doc1250   rom pink for flower
Doc1251   mer right
Doc1252   rom why then is my pump well flowerd
Doc1253   mer well said follow me this jest now till thou hast worn out
Doc1254     thy pump that when the single sole of it is worn the jest may
Doc1255     remain after the wearing solely singular
Doc1256   rom o single sold jest solely singular for the singleness
Doc1257   mer come between us good benvolio my wits faint
Doc1258   rom swits and spurs swits and spurs or ill cry a match
Doc1259   mer nay if our wits run the wild goose chase i am done for
Doc1260     thou hast more of the wild goose in one of thy wits than i am
Doc1261     sure i have in my whole five was i with you there for the goose?
Doc1262   rom thou wast never with me for anything when thou wast not
Doc1263     there for the goose
Doc1264   mer i will bite thee by the ear for that jest
Doc1265   rom nay good goose bite not
Doc1266   mer thy wit is a very bitter sweeting it is a most sharp sauce
Doc1267   rom and is it not then well servd in to a sweet goose?
Doc1268   mer o heres a wit of cheveril that stretches from an inch
Doc1269     narrow to an ell broad
Doc1270   rom i stretch it out for that word broad which added to
Doc1271     the goose proves thee far and wide a broad goose
Doc1272   mer why is not this better now than groaning for love? now
Doc1273     art thou sociable now art thou romeo now art thou what thou art by
Doc1274     art as well as by nature for this drivelling love is like a
Doc1275     great natural that runs lolling up and down to hide his bauble in
Doc1276     a hole
Doc1277   ben stop there stop there
Doc1278   mer thou desirest me to stop in my tale against the hair
Doc1279   ben thou wouldst else have made thy tale large
Doc1280   mer o thou art deceivd i would have made it short for i
Doc1281     was come to the whole depth of my tale and meant indeed to
Doc1282     occupy the argument no longer
Doc1283   rom heres goodly gear
Doc1284                       enter nurse and her man [peter]
Doc1285   mer a sail a sail
Doc1286   ben two two a shirt and a smock
Doc1287   nurse peter
Doc1288   peter anon
Doc1289   nurse my fan peter
Doc1290   mer good peter to hide her face for her fans the fairer face of
Doc1291     the two
Doc1292   nurse god ye good morrow gentlemen
Doc1293   mer god ye good den fair gentlewoman
Doc1294   nurse is it good den?
Doc1295   mer tis no less i tell ye for the bawdy hand of the dial is
Doc1296     now upon the prick of noon
Doc1297   nurse out upon you what a man are you
Doc1298   rom one gentlewoman that god hath made for himself to mar
Doc1299   nurse by my troth it is well said for himself to mar
Doc1300     quoth a? gentlemen can any of you tell me where i may find the
Doc1301     young romeo?
Doc1302   rom i can tell you but young romeo will be older when you
Doc1303     have found him than he was when you sought him i am the youngest
Doc1304     of that name for fault of a worse
Doc1305   nurse you say well
Doc1306   mer yea is the worst well? very well took i faith wisely
Doc1307     wisely
Doc1308   nurse if you be he sir i desire some confidence with you
Doc1309   ben she will endite him to some supper
Doc1310   mer a bawd a bawd a bawd so ho
Doc1311   rom what hast thou found?
Doc1312   mer no hare sir unless a hare sir in a lenten pie that is
Doc1313     something stale and hoar ere it be spent
Doc1314                                      he walks by them and sings
Doc1315                    an old hare hoar
Doc1316                    and an old hare hoar
Doc1317                 is very good meat in lent
Doc1318                    but a hare that is hoar
Doc1319                    is too much for a score
Doc1320                 when it hoars ere it be spent
Doc1321     romeo will you come to your fathers? well to dinner thither
Doc1322   rom i will follow you
Doc1323   mer farewell ancient lady farewell
Doc1324     [sings] lady lady lady
Doc1325                                       exeunt mercutio benvolio
Doc1326   nurse marry farewell i pray you sir what saucy merchant
Doc1327     was this that was so full of his ropery?
Doc1328   rom a gentleman nurse that loves to hear himself talk and
Doc1329     will speak more in a minute than he will stand to in a month
Doc1330   nurse an a speak anything against me ill take him down an
Doc1331 a
Doc1332     were lustier than he is and twenty such jacks and if i cannot
Doc1333     ill find those that shall scurvy knave i am none of his
Doc1334     flirt gills i am none of his skains mates and thou must
Doc1335     stand by too and suffer every knave to use me at his pleasure
Doc1336   peter i saw no man use you at his pleasure if i had my
Doc1337     weapon should quickly have been out i warrant you i dare draw as
Doc1338     soon as another man if i see occasion in a good quarrel and the
Doc1339     law on my side
Doc1340   nurse now afore god i am so vexed that every part about me
Doc1341     quivers scurvy knave pray you sir a word and as i told you
Doc1342     my young lady bid me enquire you out what she bid me say i
Doc1343     will keep to myself but first let me tell ye if ye should lead
Doc1344     her into a fools paradise as they say it were a very gross kind of
Doc1345     behaviour as they say for the gentlewoman is young and
Doc1346     therefore if you should deal double with her truly it were
Doc1347     an ill thing to be offred to any gentlewoman and very weak dealing
Doc1348   rom nurse commend me to thy lady and mistress i protest unto
Doc1349     thee 
Doc1350   nurse good heart and i faith i will tell her as much lord
Doc1351     lord she will be a joyful woman
Doc1352   rom what wilt thou tell her nurse? thou dost not mark me
Doc1353   nurse i will tell her sir that you do protest which as i
Doc1354     take it is a gentlemanlike offer
Doc1355   rom bid her devise
Doc1356     some means to come to shrift this afternoon
Doc1357     and there she shall at friar laurence cell
Doc1358     be shrivd and married here is for thy pains
Doc1359   nurse no truly sir not a penny
Doc1360   rom go to i say you shall
Doc1361   nurse this afternoon sir? well she shall be there
Doc1362   rom and stay good nurse behind the abbey wall
Doc1363     within this hour my man shall be with thee
Doc1364     and bring thee cords made like a tackled stair
Doc1365     which to the high topgallant of my joy
Doc1366     must be my convoy in the secret night
Doc1367     farewell be trusty and ill quit thy pains
Doc1368     farewell commend me to thy mistress
Doc1369   nurse now god in heaven bless thee hark you sir
Doc1370   rom what sayst thou my dear nurse?
Doc1371   nurse is your man secret? did you neer hear say
Doc1372     two may keep counsel putting one away?
Doc1373   rom i warrant thee my mans as true as steel
Doc1374   nurse well sir my mistress is the sweetest lady lord lord
Doc1375     when twas a little prating thing  o there is a nobleman in
Doc1376     town one paris that would fain lay knife aboard but she
Doc1377     good soul had as lieve see a toad a very toad as see him i
Doc1378     anger her sometimes and tell her that paris is the properer man
Doc1379     but ill warrant you when i say so she looks as pale as any
Doc1380     clout in the versal world doth not rosemary and romeo begin both
Doc1381     with a letter?
Doc1382   rom ay nurse what of that? both with an r
Doc1383   nurse ah mocker thats the dogs name r is for the  no i
Doc1384     know it begins with some other letter and she hath the prettiest
Doc1385     sententious of it of you and rosemary that it would do you
Doc1386     good to hear it
Doc1387   rom commend me to thy lady
Doc1388   nurse ay a thousand times [exit romeo] peter
Doc1389   peter anon
Doc1390   nurse peter take my fan and go before and apace
Doc1391                                                          exeunt
Doc1392 scene v
Doc1393 capulets orchard
Doc1394 enter juliet
Doc1395   jul the clock struck nine when i did send the nurse
Doc1396     in half an hour she promisd to return
Doc1397     perchance she cannot meet him thats not so
Doc1398     o she is lame loves heralds should be thoughts
Doc1399     which ten times faster glide than the suns beams
Doc1400     driving back shadows over lowring hills
Doc1401     therefore do nimble piniond doves draw love
Doc1402     and therefore hath the wind swift cupid wings
Doc1403     now is the sun upon the highmost hill
Doc1404     of this days journey and from nine till twelve
Doc1405     is three long hours yet she is not come
Doc1406     had she affections and warm youthful blood
Doc1407     she would be as swift in motion as a ball
Doc1408     my words would bandy her to my sweet love
Doc1409     and his to me
Doc1410     but old folks many feign as they were dead 
Doc1411     unwieldy slow heavy and pale as lead
Doc1412                       enter nurse [and peter]
Doc1413     o god she comes o honey nurse what news?
Doc1414     hast thou met with him? send thy man away
Doc1415   nurse peter stay at the gate
Doc1416                                                    [exit peter]
Doc1417   jul now good sweet nurse  o lord why lookst thou sad?
Doc1418     though news be sad yet tell them merrily
Doc1419     if good thou shamest the music of sweet news
Doc1420     by playing it to me with so sour a face
Doc1421   nurse i am aweary give me leave awhile
Doc1422     fie how my bones ache what a jaunce have i had
Doc1423   jul i would thou hadst my bones and i thy news
Doc1424     nay come i pray thee speak good good nurse speak
Doc1425   nurse jesu what haste can you not stay awhile?
Doc1426     do you not see that i am out of breath?
Doc1427   jul how art thou out of breath when thou hast breath
Doc1428     to say to me that thou art out of breath?
Doc1429     the excuse that thou dost make in this delay
Doc1430     is longer than the tale thou dost excuse
Doc1431     is thy news good or bad? answer to that
Doc1432     say either and ill stay the circumstance
Doc1433     let me be satisfied ist good or bad?
Doc1434   nurse well you have made a simple choice you know not how to
Doc1435     choose a man romeo? no not he though his face be better
Doc1436     than any mans yet his leg excels all mens and for a hand and a
Doc1437     foot and a body though they be not to be talkd on yet
Doc1438     they are past compare he is not the flower of courtesy but ill
Doc1439     warrant him as gentle as a lamb go thy ways wench serve
Doc1440 god
Doc1441     what have you dind at home?
Doc1442   jul no no but all this did i know before
